training_iteration,number_of_agents_mean,number_of_airports_mean,malfunction_rate_mean,number_of_initial_cargo_mean,dynamic_cargo_generated_mean
254,2.0,3.91,0.0,3.0,0.98
255,2.0,3.93,0.0,3.0,0.98
256,2.0,3.95,0.0,3.0,0.98
257,2.0,3.95,0.0,3.0,0.98
258,2.0,3.97,0.0,3.0,0.98
259,2.0,3.97,0.0,3.0,0.98
260,2.0,3.98,0.0,3.0,0.98
261,2.0,3.98,0.0,3.0,0.98
262,2.0,3.99,0.0,3.0,0.98
263,2.0,3.99,0.0,3.0,0.98
264,2.0,3.99,0.0,3.0,0.98
265,2.0,4.0,0.0,3.0,0.99
266,2.0,4.0,0.0,3.0,0.99
267,2.0,4.0,0.0,3.0,0.98
268,2.0,4.0,0.0,3.0,1.0
269,2.0,4.0,0.0,3.0,1.02
270,2.0,4.0,0.0,3.0,1.04
271,2.0,4.0,0.0,3.0,1.07
272,2.0,4.0,0.0,3.0,1.08
273,2.0,4.0,0.0,3.0,1.09
274,2.0,4.0,0.0,3.0,1.09
275,2.0,4.0,0.0,3.0,1.11
276,2.0,4.0,0.0,3.0,1.15
277,2.0,4.0,0.0,3.0,1.18
278,2.0,4.0,0.0,3.0,1.2
279,2.0,4.0,0.0,3.0,1.2
280,2.0,4.0,0.0,3.0,1.21
281,2.0,4.0,0.0,3.0,1.23
282,2.0,4.0,0.0,3.0,1.26
283,2.0,4.0,0.0,3.0,1.26
284,2.0,4.0,0.0,3.0,1.29
285,2.0,4.0,0.0,3.0,1.35
286,2.0,4.0,0.0,3.0,1.37
287,2.0,4.0,0.0,3.0,1.39
288,2.0,4.0,0.0,3.0,1.4
289,2.0,4.0,0.0,3.0,1.41
290,2.0,4.0,0.0,3.0,1.44
291,2.0,4.0,0.0,3.0,1.45
292,2.0,4.0,0.0,3.0,1.46
293,2.0,4.0,0.0,3.0,1.48
294,2.0,4.0,0.0,3.0,1.48
295,2.0,4.0,0.0,3.0,1.5
296,2.0,4.0,0.0,3.0,1.51
297,2.0,4.0,0.0,3.0,1.53
298,2.0,4.0,0.0,3.0,1.55
299,2.0,4.0,0.0,3.0,1.55
300,2.0,4.0,0.0,3.0,1.56
301,2.0,4.0,0.0,3.0,1.59
302,2.0,4.0,0.0,3.0,1.61
303,2.0,4.0,0.0,3.0,1.62
304,2.0,4.0,0.0,3.0,1.66
305,2.0,4.0,0.0,3.0,1.69
306,2.0,4.0,0.0,3.0,1.69
307,2.0,4.0,0.0,3.0,1.72
308,2.0,4.0,0.0,3.0,1.74
309,2.0,4.0,0.0,3.0,1.76
310,2.0,4.0,0.0,3.0,1.76
311,2.0,4.0,0.0,3.0,1.77
312,2.0,4.0,0.0,3.0,1.8
313,2.0,4.0,0.0,3.0,1.81
314,2.0,4.0,0.0,3.0,1.83
315,2.0,4.0,0.0,3.0,1.83
316,2.0,4.0,0.0,3.0,1.83
317,2.0,4.0,0.0,3.0,1.86
318,2.0,4.0,0.0,3.0,1.87
319,2.0,4.0,0.0,3.0,1.89
320,2.0,4.0,0.0,3.0,1.89
321,2.0,4.0,0.0,3.0,1.89
322,2.0,4.0,0.0,3.0,1.89
323,2.0,4.0,0.0,3.0,1.89
324,2.0,4.0,0.0,3.0,1.89
325,2.0,4.0,0.0,3.0,1.87
326,2.0,4.0,0.0,3.0,1.88
327,2.0,4.0,0.0,3.0,1.89
328,2.0,4.0,0.0,3.0,1.89
329,2.0,4.0,0.0,3.0,1.9
330,2.0,4.0,0.0,3.0,1.9
331,2.0,4.0,0.0,3.0,1.89
332,2.0,4.0,0.0,3.0,1.88
333,2.0,4.0,0.0,3.01,1.87
334,2.0,4.0,0.0,3.02,1.86
335,2.0,4.0,0.0,3.05,1.83
336,2.0,4.0,0.0,3.07,1.81
337,2.0,4.0,0.0,3.09,1.79
338,2.0,4.0,0.0,3.1,1.77
339,2.0,4.0,0.0,3.15,1.73
340,2.0,4.0,0.0,3.18,1.7
341,2.0,4.0,0.0,3.21,1.67
342,2.0,4.0,0.0,3.22,1.66
343,2.0,4.0,0.0,3.24,1.65
344,2.0,4.0,0.0,3.27,1.62
345,2.0,4.0,0.0,3.32,1.57
346,2.0,4.0,0.0,3.34,1.54
347,2.0,4.0,0.0,3.36,1.52
348,2.0,4.0,0.0,3.37,1.5
349,2.0,4.0,0.0,3.42,1.45
350,2.0,4.0,0.0,3.47,1.41
351,2.0,4.0,0.0,3.51,1.37
352,2.0,4.0,0.0,3.53,1.35
353,2.0,4.0,0.0,3.58,1.3
354,2.0,4.0,0.0,3.61,1.27
355,2.0,4.0,0.0,3.65,1.24
356,2.0,4.0,0.0,3.67,1.23
357,2.0,4.0,0.0,3.68,1.23
358,2.0,4.0,0.0,3.71,1.23
359,2.0,4.0,0.0,3.75,1.22
360,2.0,4.0,0.0,3.75,1.22
361,2.0,4.0,0.0,3.79,1.24
362,2.0,4.0,0.0,3.8,1.25
363,2.0,4.0,0.0,3.85,1.25
364,2.0,4.0,0.0,3.87,1.26
365,2.0,4.0,0.0,3.89,1.28
366,2.0,4.0,0.0,3.89,1.29
367,2.0,4.0,0.0,3.91,1.31
368,2.0,4.0,0.0,3.91,1.33
369,2.0,4.0,0.0,3.92,1.34
370,2.0,4.0,0.0,3.92,1.34
371,2.0,4.0,0.0,3.93,1.36
372,2.0,4.0,0.0,3.95,1.39
373,2.0,4.0,0.0,3.96,1.4
374,2.0,4.0,0.0,3.96,1.41
375,2.0,4.0,0.0,3.96,1.42
376,2.0,4.0,0.0,3.96,1.44
377,2.0,4.0,0.0,3.96,1.45
378,2.0,4.0,0.0,3.97,1.48
379,2.0,4.0,0.0,3.97,1.48
380,2.0,4.0,0.0,3.98,1.5
381,2.0,4.0,0.0,3.98,1.53
382,2.0,4.0,0.0,3.98,1.54
383,2.0,4.0,0.0,3.98,1.55
